Repository Category,Legacy URL,Category Recovered,Number of Resources Displayed,Number Inventoried,Number With Underlying Links,Number Migrated,Number Unresolved,Status,Notes
Adolescent HIV/AIDS,https://williamsandremoh.wixsite.com/jmerg/items-2/adolescent-hiv%2Faids,YES,18,18,18,18,0,PASS,18 individual records supplied by user and migrated.
Antiretroviral Drug Resistance,https://williamsandremoh.wixsite.com/jmerg/items-2/antiretroviral-drug-resistance,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Antiretroviral Therapy Outcomes,https://williamsandremoh.wixsite.com/jmerg/items-2/antiretroviral-therapy-outcomes,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Capacity Building,https://williamsandremoh.wixsite.com/jmerg/items-2/capacity-building,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Coinfection and Communicable Diseases,https://williamsandremoh.wixsite.com/jmerg/items-2/coinfection-and-communicable-diseases,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Epidemiology of HIV in Jamaica,https://williamsandremoh.wixsite.com/jmerg/items-2/epidemiology-of-hiv-in-jamaica,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Key and Vulnerable populations,https://williamsandremoh.wixsite.com/jmerg/items-2/key-and-vulnerable-populations,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Knowledge Attitudes Behaviour and Practices,https://williamsandremoh.wixsite.com/jmerg/items-2/knowledge-attitudes-behaviour-and-practices,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Paediatric HIV/AIDS,https://williamsandremoh.wixsite.com/jmerg/items-2/paediatric-hiv%2Faids,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Prevention of Mother to Child Transmission,https://williamsandremoh.wixsite.com/jmerg/items-2/prevention-of-mother-to-child-transmission,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Psychosocial Determinants and Effects of HIV/AIDS,https://williamsandremoh.wixsite.com/jmerg/items-2/psychosocial-determinants-and-effects-of-hiv%2Faids,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Reports,https://williamsandremoh.wixsite.com/jmerg/items-2/reports,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Risk Communication,https://williamsandremoh.wixsite.com/jmerg/items-2/risk-communication,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Sexually Transmitted Infections,https://williamsandremoh.wixsite.com/jmerg/items-2/sexually-transmitted-infections,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Stigma and Discrimination,https://williamsandremoh.wixsite.com/jmerg/items-2/stigma-and-discrimination,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
The National HIV Response,https://williamsandremoh.wixsite.com/jmerg/items-2/the-national-hiv-response,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
Tuberculosis Prevention and Control,https://williamsandremoh.wixsite.com/jmerg/items-2/tuberculosis-prevention-and-control,NO,,,,,UNKNOWN,Category route recovered from saved Repository page; individual category-page contents are not present in supplied saved main-page HTML and Wix dynamic pages are inaccessible to current fetch tools.
